net,length_um
clknet_1_1__leaf_clk,432.19
clknet_1_0__leaf_clk,430.99
_0468_,346.37
_0529_,238.48
_0429_,224.72
_0519_,223.66
net38,210.85
_0909_,209.2
_0889_,207.46
_0828_,205.305
_0537_,197.11
_0829_,195.91
_0891_,192.85
_0471_,190.27
_0509_,188.84
clk,188.83
_0882_,186.12
_0879_,185.01
_1465_,184.82
_0472_,183.7
_0903_,182.5
_0470_,180.3
_0608_,180.26
_0878_,178.26
_0665_,177.04
_0603_,175.08
_0775_,175.02
_0871_,173.36
_0937_,172.845
_1280_,171.9
_0872_,170.18
_0897_,169.955
_0438_,168.88
_1277_,168.24
_0898_,166.24
_1139_,160.885
_0604_,160.15
_0620_,158.72
_0507_,158.66
_0776_,155.64
_1042_,151.655
_0932_,151.44
_0543_,151.335
_1286_,149.82
clknet_leaf_21_clk,148.02
_0556_,146.565
_1462_,146.21
_0881_,145.79
_0642_,143.98
_0609_,141.88
_0657_,140.58
_0467_,140.115
_0641_,139.94
_1056_,138.66
_0486_,138.575
_1285_,137.58
_0910_,135.55
_1450_,135.08
_0866_,134.67
_1460_,130.44
_1266_,130.27
_0893_,128.12
reg_file.registers\[10\]\[30\],127.66
clknet_leaf_2_clk,124.92
_1456_,124.83
_1234_,123.5
_0570_,122.94
_0512_,122.7
_0414_,122.63
_1463_,122.36
_0610_,121.7
_0933_,120.53
reg_file.registers\[11\]\[3\],120.1
_0622_,119.97
clknet_leaf_5_clk,119.22
clknet_leaf_6_clk,118.38
_0940_,117.92
_0902_,117.68
_0877_,117.34
_0403_,114.8
reg_file.registers\[10\]\[4\],114.16
clknet_leaf_4_clk,113.79
_0708_,113.78
_1469_,113.26
_0484_,112.37
_0569_,111.52
_1470_,111.18
clknet_leaf_20_clk,111.08
_0605_,110.48
_1028_,109.375
_0393_,107.12
clknet_0_clk,105.68
net34,104.93
clknet_leaf_14_clk,102.145
_0389_,100.11
reg_file.registers\[10\]\[3\],99.88
_0478_,99.7
_0939_,99.67
_1293_,99.43
