net,length_um
clknet_0_clk,966.75
_1159_,756.54
_1701_,748.035
_1856_,732.41
_1756_,727.77
_1109_,726.61
_1758_,720.37
_1124_,719.02
_1687_,705.51
_1695_,696.96
_1760_,676.24
_1763_,672.26
_1774_,664.24
_3876_,659.95
_1689_,657.81
_1135_,650.99
_1768_,643.28
_1690_,640.68
_3383_,640.03
_1765_,639.28
_3346_,632.3
_3310_,629.67
_4081_,625.44
_3420_,615.73
_1379_,615.255
_3804_,611.61
_3973_,611.2
_3069_,606.71
_1362_,601.29
_3901_,597.16
_3840_,593.6
_3335_,591.28
_1143_,589.51
_1677_,585.67
_1771_,585.42
_3550_,584.795
_3623_,580.67
_3768_,579.15
_3456_,578.96
_1714_,577.92
_2962_,577.15
_1692_,576.82
_3236_,576.26
_3514_,575.64
_3398_,574.36
_1754_,574.345
_3539_,574.34
_4189_,573.365
_3372_,571.295
_3299_,570.82
_3272_,570.37
_3525_,564.52
_3706_,564.22
_3503_,563.44
_3477_,561.255
_3670_,553.82
_3137_,553.67
_1140_,552.75
_4175_,552.71
_1960_,548.76
_3409_,547.665
_3659_,546.76
_3561_,545.53
_4153_,543.06
_1132_,541.68
_3634_,541.65
_4020_,540.7
_3695_,538.48
_4117_,538.46
_3261_,537.96
_3731_,537.41
_1438_,536.79
_1731_,535.06
_1348_,531.63
_3684_,531.1
_3004_,530.93
_1702_,530.88
_3214_,527
_4009_,525.88
_3250_,525.29
_3720_,525.28
_2983_,522.99
_3984_,522.72
_3225_,522.31
_1153_,518.89
_3575_,516.37
_1720_,515.655
_3865_,513.61
_1706_,513.58
_4045_,512.98
_1741_,510.94
_1767_,508.37
_4031_,508.06
_1682_,506.77
_3435_,506.54
_1198_,506.29
_1977_,503.79
_4211_,501.94
_4164_,499.425
_3829_,497.23
_1347_,495.245
_1775_,493.86
_3779_,493.36
_3912_,490.71
_3742_,486.41
_1752_,485.75
_3612_,485.24
_1883_,484.01
_3159_,483.88
_1821_,483.23
_1719_,482.53
_3197_,482.42
_3757_,481.62
_1405_,481.52
_3090_,481.36
_1383_,481.31
_3793_,480.03
_1122_,476.28
_3148_,475.7
_1136_,475.56
_3052_,474.51
_1161_,472.94
_1145_,472.82
_4092_,471.5
_1820_,470.85
_3361_,470.67
_3648_,470.06
_1126_,469.58
_4200_,469.56
_1404_,469.27
_1746_,464.85
_1382_,464.19
_1344_,463.82
_1381_,462.12
_1131_,461.85
_1655_,461.29
_2031_,460.54
_1148_,459.87
_1811_,459.86
_1031_,458.19
_1968_,456.8
_3851_,456.24
_3887_,455.6
_1631_,455.52
_1346_,455.22
_1160_,454.22
_3597_,452.98
_1798_,451.22
_3288_,450.25
_4067_,447.92
_1705_,447.08
_3959_,446.75
_1778_,446.02
_1799_,445.77
_3815_,445.56
_1073_,444.155
_1386_,443.29
_1725_,439.82
_1142_,439.16
_3923_,438.78
net33,438.09
_1128_,437.72
_4103_,437.48
_1773_,437.3
_3937_,437.22
_1025_,436.89
_1762_,435.36
_1969_,434.8
_1415_,434.56
_3324_,434.56
_4056_,433.91
_4139_,433.51
_3111_,433.355
_1764_,428.44
_1810_,427.43
net15,426.78
_2152_,425.04
_1691_,424.6
_1127_,423.905
_3995_,422.94
_1137_,422.84
_1809_,421.11
_1199_,419.14
_1372_,419.05
_1389_,418.13
_3041_,413.27
net29,410.57
_1421_,409.93
_1434_,408.42
_3186_,407.54
_3030_,406.6
_2168_,406.12
_1203_,405.54
net14,404.92
_4128_,404.32
_1116_,403.72
net28,401.55
_1748_,400.55
_3175_,398.57
_1806_,398.12
_1704_,394.71
_1433_,394.69
_1749_,393.67
_1851_,391.45
_1117_,388.2
_3948_,386.91
_1197_,386.46
_1660_,385.07
_1026_,381.39
_2196_,374.03
_2394_,373.945
_1034_,373.07
_1676_,372.89
_1419_,372.85
_1416_,370.64
_1627_,369.9
_3586_,367.84
_1125_,366.57
net32,364.04
_1324_,363.24
_2084_,361.73
_1390_,361.63
_1418_,355.63
_1428_,353.64
net34,351.59
_1427_,351.22
_1320_,349.77
_1628_,349.5
_1321_,346.505
clk,344.1
_1513_,344.02
_2027_,342.12
net6,341.61
_1996_,341.24
_1070_,339.59
_1323_,339.17
_1997_,336.97
_1201_,336.16
net5,335.385
_2136_,334.69
net31,333.36
net8,332.5
_1979_,331.95
_1166_,331.76
_1167_,329.36
_1168_,328.12
_1759_,326.94
_1391_,326.01
_1678_,323.88
_2026_,323.14
_2028_,319.75
_2011_,319.65
_1106_,318.48
_1049_,317.34
_1338_,316.7
_2081_,314.825
_1814_,314.74
net24,313.92
_1882_,313.91
net38,313.6
net25,313.25
_1743_,312.29
_2019_,311.64
_2182_,311.03
_1679_,307.695
_1740_,305.765
_1053_,305.44
_1339_,304.44
_1204_,302.76
_1039_,299.99
_1060_,299.28
net23,299.04
_1061_,298.465
_2034_,298.14
_2020_,298.04
