net,length_um
clknet_1_0__leaf_clk,409.53
clknet_1_1__leaf_clk,383.72
_1207_,278.04
_0988_,265.22
_1065_,264.825
_0715_,264.5
_1704_,251.51
_0528_,250.9
_0590_,231.04
reg_file.registers\[5\]\[4\],213.47
_1063_,213.19
_0519_,212.24
_0477_,208.11
_0785_,205.93
_0786_,202.17
_1058_,200.02
_1003_,199.98
clk,191.31
_1145_,190.62
_1004_,186.8
_0558_,186.565
_1069_,184.235
_0680_,182.665
_1483_,182.66
_1468_,180.29
_0608_,178.405
_1025_,177.97
_1064_,175.345
_1155_,175.3
_1472_,172.39
_1073_,172.3
_0562_,171.895
_1018_,171.625
_0991_,169.405
_1332_,169.32
_0483_,167.96
_0990_,166.02
_1014_,164.73
_1153_,164.54
_0408_,162.765
_0698_,160.52
_0693_,159.725
_1700_,156.84
_1071_,156.28
_1692_,154.66
_1137_,154.16
_0599_,154.005
_0995_,153.39
_0567_,151.69
_0750_,151.575
_0996_,149.9
_0457_,149.33
clknet_leaf_5_clk,148.56
_0564_,147.5
_0557_,147.06
_0718_,145.68
_1476_,145.48
_1019_,142.72
reg_file.registers\[10\]\[0\],142.26
_0563_,140.475
_1013_,138.18
_0566_,137.84
_0863_,137.6
_0588_,137.46
reg_file.registers\[10\]\[3\],137.1
_0862_,136.875
_0692_,135.88
_1250_,135.65
_0539_,135.62
_1108_,135.6
_0610_,134.84
_0994_,133.69
reg_file.registers\[10\]\[4\],132.37
_1059_,128.34
reg_file.registers\[10\]\[2\],128.31
_0697_,126.88
_0742_,126.5
_0927_,124.285
_0493_,124.12
_0928_,123.63
clknet_leaf_4_clk,123.28
_1713_,123.07
_1107_,120.76
_1714_,119.96
_0770_,119.7
_1717_,118.91
_0559_,118.02
_1383_,117.76
_0752_,117.505
_0725_,117.44
_0568_,117.38
_1397_,117.225
_0597_,117.04
_1484_,116.25
_1016_,115.915
clknet_leaf_18_clk,114.38
_1002_,112.96
clknet_leaf_21_clk,112.82
_1705_,111.42
_1718_,111.26
clknet_leaf_11_clk,110.28
_1022_,109.92
_1407_,109.64
_1691_,109.48
_1114_,109.24
_1495_,109.21
_1068_,109.14
_1115_,109.05
_0791_,108.82
_0579_,108.56
_1697_,108.13
_0834_,107.24
_0694_,106.29
_1712_,106.22
_1200_,105.975
clknet_leaf_17_clk,105.54
_0790_,104.865
_0819_,103.52
_1557_,103.52
_0594_,103.48
_0731_,103.46
_0711_,103.42
clknet_leaf_7_clk,103.01
_0842_,101.54
_0504_,100.44
clknet_0_clk,99.95
_1026_,99.86
_0802_,99.72
_1719_,99.52
clknet_leaf_0_clk,99.03
net49,98.82
_1376_,97.8
_1244_,97.45
_1375_,97.1
_1434_,96.85
_0815_,96.79
_0880_,96.4
_1694_,95.99
_0792_,94.82
_0788_,94.52
_1345_,94.44
_1140_,94.25
_1415_,94.22
_0482_,93.62
_1708_,93.48
_0893_,93.3
_1449_,93.27
_0917_,93.14
_1298_,93.02
_1696_,92.18
_0806_,91.96
_0795_,91.78
_0448_,91.54
_0888_,90.41
_0771_,89.78
_1698_,89.78
clknet_leaf_6_clk,89.76
_0578_,89.36
_0853_,89
_1437_,88.32
_1711_,88.22
_1017_,88.14
_1454_,87.86
clknet_leaf_16_clk,87.76
net1,87.175
_0741_,87.06
_0902_,86.82
_0580_,86.46
_1695_,86.32
_0732_,86.17
_0717_,86.01
_0574_,85.84
_1459_,85.73
_0572_,85.64
_1693_,85.52
_0913_,85.1
_0825_,85.06
_0575_,84.67
_0907_,84.06
_1128_,82.97
_0929_,82.46
_0979_,81.89
_1291_,81.53
_1441_,81.25
_1703_,80.96
_1072_,80.79
