net,length_um
_027_,283.28
_159_,279.64
_075_,273.43
one_second_counter\[18\],268.955
one_second_counter\[17\],268.91
_161_,256.14
decoder.digit\[1\],254.04
_127_,252.5
decoder.digit\[0\],221.18
decoder.digit\[3\],216.62
decoder.digit\[2\],213.52
_085_,210.15
one_second_counter\[4\],208.42
one_second_counter\[2\],207.36
net1,206.275
_095_,203.02
_150_,202.86
one_second_counter\[0\],202.42
_160_,201.37
one_second_counter\[19\],196.89
one_second_counter\[25\],196.34
_119_,193.205
_114_,192.02
one_second_counter\[1\],187.84
one_second_enable,185.585
one_second_counter\[10\],182.99
_135_,182.36
_077_,181.18
_109_,175.9
one_second_counter\[3\],171.75
one_second_counter\[16\],169.85
_126_,162.54
_098_,160.42
one_second_counter\[8\],159.54
_064_,158.37
one_second_counter\[13\],157.58
_129_,155.59
_148_,149.94
_066_,147.82
one_second_counter\[5\],146.86
net5,146.09
one_second_counter\[14\],142.54
one_second_counter\[9\],141.16
one_second_counter\[15\],140.615
_089_,139.76
_121_,137.34
one_second_counter\[12\],137.14
one_second_counter\[11\],136.1
net6,135.84
net8,131.52
one_second_counter\[23\],129.4
_083_,129.09
_155_,127.56
net2,124.22
_056_,121.93
_145_,121.12
_156_,120.68
net3,120.06
clknet_2_0__leaf_clk,120.02
_086_,119.86
one_second_counter\[20\],119.78
_005_,119.32
_067_,118
_149_,116.98
one_second_counter\[21\],114.98
_074_,113.92
_123_,111.26
_097_,111.16
_016_,108.26
_078_,107.79
_133_,107.78
_104_,106.96
_136_,106.735
_130_,106.68
net4,106.68
_068_,105.64
_019_,105.63
_142_,104.52
_000_,104.08
_034_,103.81
_090_,102.18
_073_,101.96
_100_,101.3
_111_,100.56
_059_,100.38
one_second_counter\[22\],100.22
_029_,99.98
one_second_counter\[24\],99.92
_025_,99.42
_093_,98.28
_021_,96.95
_087_,95.4
_143_,93.6
_023_,93.46
_128_,93.42
_158_,93.1
_152_,92.02
_134_,91.96
_154_,91.58
_002_,89.6
_028_,89.53
_065_,88.8
_084_,88.18
clknet_2_3__leaf_clk,87.98
_110_,87.52
clknet_2_2__leaf_clk,86.22
clknet_0_clk,85.98
_124_,85.62
_032_,84.53
clk,84.19
clknet_2_1__leaf_clk,83.1
_006_,82.62
_012_,81.88
_118_,81.82
_048_,80.89
_140_,80.72
_024_,76.33
_147_,75.94
_054_,75.89
_035_,75.67
_106_,75.54
_033_,75.23
_131_,75.14
one_second_counter\[26\],74.945
one_second_counter\[7\],74.78
_020_,73.78
_008_,73.56
_022_,71.865
_113_,71.72
_137_,69.94
_030_,69.45
_011_,69.34
_088_,69
_037_,67.97
_080_,67.58
_144_,67.3
_031_,67.1
_116_,66.71
one_second_counter\[6\],66.18
_057_,65.84
_076_,65.66
_052_,65.13
_049_,64.8
_069_,64.06
_009_,61.36
_146_,61.2
_138_,59.84
_060_,59.6
_157_,58.64
_041_,58.51
_042_,57.59
_139_,57.3
_003_,57.12
net7,56.26
_117_,56.18
_120_,55.94
_151_,55.78
_046_,53.23
_108_,52.76
_051_,52.69
_122_,52.04
_017_,52
_010_,51.26
_099_,49.82
_001_,49.58
_107_,48.12
_101_,48.1
_047_,47.77
_103_,47.14
_050_,44.87
_018_,43.5
_153_,42.36
_040_,40.47
_102_,39.96
_096_,39.78
_082_,39.66
_115_,39.64
_007_,38.84
_105_,38.78
_125_,38.42
_132_,37.54
_058_,36.41
_071_,35.84
_091_,35.6
_015_,34.52
_092_,34.36
_112_,33.88
_038_,33.48
_013_,33.12
_062_,32.92
_081_,32.48
_061_,32.16
_063_,32.08
_070_,31.36
_094_,31.32
_036_,27.64
_043_,24.19
_026_,23.48
_044_,22.25
_079_,20.1
_053_,17.68
_141_,16.22
_072_,15.32
_045_,11.53
_039_,10.97
_055_,7.29
_014_,6.8
rst,6.77
net11,5.97
net15,5.97
net13,5.29
seg[1],5.29
seg[3],5.29
seg[5],5.29
net14,4.61
net10,4.61
net12,3.93
net16,3.93
seg[0],3.93
seg[2],3.93
seg[4],3.93
seg[6],3.93
net9,3.93
_004_,2.28
