net,length_um
net2,127.555
net1,126.65
net24,113.8
_098_,109.16
_100_,101.04
_141_,99.12
net23,97.4
_095_,93.975
net17,92.5
net7,91.52
net19,88.46
net9,88.2
_148_,86.14
net8,85.9
_143_,85.41
_096_,85.16
_066_,83.38
net22,82.38
net21,81.2
net20,76.58
_146_,75.98
_018_,74.05
net5,73.62
net3,60.54
net4,53.2
net6,50.78
_041_,48.74
_010_,41.38
_153_,40.3
net10,34.295
_128_,28.62
_151_,28.24
net15,28.08
net12,26.66
net14,25.72
_127_,24.94
net11,24.48
_124_,23.26
net16,22.72
_119_,22.7
_156_,21.54
_051_,20.78
_117_,20.04
A[3],19.61
_034_,19.24
_003_,18.58
_152_,18.36
_012_,18.32
_045_,18.14
_145_,17.52
_044_,17.48
_159_,16.1
_022_,16.04
_162_,15.08
_094_,14.86
_021_,14.42
_140_,14.095
_105_,13.14
_104_,12.66
_055_,12.64
_005_,12.46
_002_,12.42
_014_,11.56
_114_,11.5
OUT[0],11.47
_123_,11.42
_007_,11.32
_009_,11.16
OUT[3],11.13
_033_,11.01
_030_,10.97
_073_,10.92
_134_,10.74
_013_,10.5
_025_,10.5
_106_,10.4
_019_,10.2
_118_,10.14
_090_,10
_133_,9.86
_107_,9.83
_139_,9.76
_000_,9.46
_043_,9.12
_020_,8.94
_154_,8.875
A[2],8.85
_163_,8.68
_006_,8.56
_085_,8.56
_082_,8.52
_027_,8.5
OUT[7],8.47
_083_,8.44
_076_,8.385
_137_,8.1
_108_,8.02
_164_,8
_135_,7.98
_109_,7.8
_155_,7.78
_161_,7.66
_038_,7.64
_115_,7.56
_099_,7.32
_046_,7.2
B[3],7.15
_092_,7.1
_015_,7.08
_024_,6.98
_031_,6.98
_101_,6.98
_144_,6.98
_122_,6.76
_040_,6.72
_136_,6.68
_112_,6.64
_147_,6.64
net13,6.6
_078_,6.58
_017_,6.54
_129_,6.52
_113_,6.44
_132_,6.4
_093_,6.36
_042_,6.26
_074_,6.18
A[1],6.09
A[4],6.09
A[5],6.09
B[4],6.09
OPCODE[1],6.09
OPCODE[2],6.09
_060_,6.08
_016_,5.98
_023_,5.98
A[6],5.97
A[7],5.97
B[5],5.97
B[6],5.97
B[7],5.97
_157_,5.92
net18,5.8
B[1],5.75
OUT[1],5.75
OUT[5],5.75
_103_,5.72
_160_,5.7
_048_,5.68
_150_,5.68
_028_,5.58
B[2],5.41
_035_,5.4
_037_,5.34
_068_,5.26
_065_,5.04
_111_,5.02
A[0],4.95
B[0],4.95
OPCODE[0],4.95
_052_,4.92
_029_,4.82
_081_,4.82
_125_,4.48
_056_,4.46
_142_,4.46
_011_,4.42
_075_,4.42
_086_,4.42
OUT[2],4.39
OUT[4],4.39
OUT[6],4.39
_158_,4.22
_091_,4.02
_088_,4
_102_,4
_050_,3.9
_069_,3.82
_130_,3.68
_070_,3.64
_097_,3.56
_001_,3.44
_063_,3.3
_049_,3.1
_039_,3.08
_080_,3.08
_116_,3.08
_057_,2.98
_121_,2.96
_110_,2.74
_087_,2.72
_077_,2.64
_036_,2.62
_047_,2.62
_067_,2.62
_032_,2.5
_058_,2.38
_062_,2.3
_149_,2.29
_120_,2.18
_053_,2.16
_131_,2.16
_079_,2.04
_004_,1.84
_059_,1.72
_064_,1.72
_071_,1.72
_084_,1.7
_126_,1.7
_061_,1.38
_054_,1.26
_138_,1.14
_026_,0.8
_008_,0.46
_072_,0.46
_089_,0.46
